VID,Devicetime,lat(API),long(API),lat(RAW),long(RAW),Posisi
202543,7/15/2021 3:51,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:16,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:53,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:44,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:54,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:33,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:17,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:55,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:18,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:56,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:34,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:45,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:57,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:19,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 4:01,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:35,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:58,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:20,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:46,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 4:02,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:00,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:36,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:01,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:02,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:37,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:23,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:03,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:47,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:04,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:24,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:36,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:38,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:05,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:37,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:25,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:38,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:39,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 3:48,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:39,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 4:00,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 2:40,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 4:04,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 4:33,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 5:10,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 4:34,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 4:35,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 4:36,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 4:39,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 4:40,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 4:15,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 4:41,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 4:16,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 4:42,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 4:43,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 4:44,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 4:47,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 5:04,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 4:48,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 5:05,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 5:06,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 5:07,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 5:08,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 4:31,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 5:09,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 4:32,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 7:05,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 7:06,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 6:15,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 7:11,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 6:16,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 5:51,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 6:17,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 7:07,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 7:14,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
202543,7/15/2021 6:39,0,0,-6.2065314,106.6880761,Neroktog - Tangerang - Banten
