VID,"2021-07-26 10:19:50","2021-07-26 10:19:53.404","Api null","Api null","Api null","CPU Reset"
201161,"2021-07-26 10:32:35","2021-07-26 10:32:38",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:32:51",Update
201162,"2021-07-26 10:32:33","2021-07-26 10:32:36",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:32:50",Update
201164,"2021-07-12 14:57:17","2021-07-12 14:57:19",200,"{""data_failed"":[],""message"":""Success""}","2021-07-12 14:57:29","Battery Power Low (66,5261)"
201165,"2021-07-26 10:33:26","2021-07-26 10:33:29",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:33:44",Update
201166,"2021-07-26 10:33:19","2021-07-26 10:33:21",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:33:33",Update
201167,"2021-07-26 10:33:05","2021-07-26 10:33:08",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:33:21",Update
201168,"2021-07-26 10:33:28","2021-07-26 10:33:31",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:33:46",Update
201169,"2021-07-26 10:33:01","2021-07-26 10:33:03",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:33:12",Update
201171,"2021-07-26 10:33:42","2021-07-26 10:33:44",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:33:55",Update
201172,"2021-07-26 10:33:44","2021-07-26 10:33:46",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:33:56",Update
201174,"2021-07-22 21:09:37","2021-07-22 21:09:39",200,"{""data_failed"":[],""message"":""Success""}","2021-07-22 21:10:46","CPU Reset"
201175,"2021-07-21 10:20:30","2021-07-21 10:20:33",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 10:20:40","CPU Reset"
201176,"2021-07-15 12:50:02","2021-07-15 12:50:04",200,"{""data_failed"":[],""message"":""Success""}","2021-07-15 12:50:18","CPU Reset"
201177,"2021-07-22 15:16:57","2021-07-22 15:17:00",200,"{""data_failed"":[],""message"":""Success""}","2021-07-22 15:17:21","Battery Power Low (66,5039)"
201178,"2021-07-26 10:35:09","2021-07-26 10:35:12",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:35:31",Update
201179,"2021-07-26 10:35:05","2021-07-26 10:35:08",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:35:19",Update
201180,"2021-07-26 10:34:52","2021-07-26 10:34:54",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:35:09",Update
201181,"2021-07-26 10:34:47","2021-07-26 10:34:50",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:35:09",Update
201182,"2021-07-26 10:35:11","2021-07-26 10:35:15",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:35:29",Update
201183,"2021-07-07 11:10:27","2021-07-07 11:10:30.501","Api null","Api null","Api null","CPU Reset"
