VID,"2021-08-03 13:01:58","2021-08-03 13:02:30.285","Api null","Api null","Api null","CPU Reset"
201140,"2021-08-03 13:35:59","2021-08-03 13:36:01",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:36:15",Update
201143,"2021-08-03 13:35:33","2021-08-03 13:35:37",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:36:00",Update
201144,"2021-08-03 13:36:16","2021-08-03 13:36:20",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:37:19",Update
201145,"2021-08-03 13:35:29","2021-08-03 13:35:32",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:35:50",Update
201148,"2021-08-03 13:35:33","2021-08-03 13:35:40",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:36:00",Update
201149,"2021-08-03 13:35:38","2021-08-03 13:35:42",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:36:02",Update
201150,"2021-08-03 13:35:54","2021-08-03 13:36:00",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:36:12",Update
201152,"2021-08-03 13:35:57","2021-08-03 13:36:01",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:36:13",Update
201153,"2021-08-03 13:34:41","2021-08-03 13:34:56",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:35:06",Update
201154,"2021-08-03 13:36:13","2021-08-03 13:36:16",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:37:15",Update
201155,"2021-06-29 13:58:42","2021-06-29 13:58:45.026","Api null","Api null","Api null","Battery Power Low (66,5662) (api null)"
201156,"2021-08-03 13:36:13","2021-08-03 13:36:16",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:37:17",Update
201157,"2021-08-03 13:34:09","2021-08-03 13:34:32",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:34:44",Update
201159,"2021-08-02 17:47:45","2021-08-02 17:47:48",200,"{""data_failed"":[],""message"":""Success""}","2021-08-02 17:47:56","Battery Power Low (66,6316)"
201160,"2021-08-03 13:36:15","2021-08-03 13:36:19",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:37:22",Update
201161,"2021-08-03 13:36:49","2021-08-03 13:37:05",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:37:33",Update
201162,"2021-08-03 13:36:50","2021-08-03 13:37:05",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:37:37",Update
201164,"2021-07-12 14:54:17","2021-07-12 14:54:19.782","Api null","Api null","Api null","Battery Power Low (66,5502) (api null)"
201165,"2021-08-03 13:37:25","2021-08-03 13:37:29",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:37:47",Update
201166,"2021-08-03 13:37:24","2021-08-03 13:37:26",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:37:46",Update
201167,"2021-07-27 14:41:30","2021-07-27 14:41:37",200,"{""data_failed"":[],""message"":""Success""}","2021-07-27 14:42:01","CPU Reset"
201168,"2021-08-03 13:37:27","2021-08-03 13:37:31",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:37:48",Update
201169,"2021-08-03 13:37:18","2021-08-03 13:37:20",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:37:42",Update
201171,"2021-08-03 13:37:37","2021-08-03 13:37:40",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:37:54",Update
201172,"2021-08-03 13:37:42","2021-08-03 13:37:45",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:37:55",Update
201174,"2021-07-22 21:09:37","2021-07-22 21:09:39",200,"{""data_failed"":[],""message"":""Success""}","2021-07-22 21:10:46","CPU Reset"
201175,"2021-08-03 13:38:18","2021-08-03 13:38:24",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:38:47",Update
201176,"2021-07-15 12:46:02","2021-07-15 12:46:09.388","Api null","Api null","Api null","CPU Reset"
201177,"2021-07-22 15:16:57","2021-07-22 15:17:00",200,"{""data_failed"":[],""message"":""Success""}","2021-07-22 15:17:21","Battery Power Low (66,5039)"
201178,"2021-08-03 13:38:49","2021-08-03 13:38:52",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:39:10",Update
201179,"2021-08-03 13:39:09","2021-08-03 13:39:11",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:39:22",Update
201180,"2021-08-03 13:39:05","2021-08-03 13:39:07",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:39:21",Update
201181,"2021-08-03 13:39:09","2021-08-03 13:39:12",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:39:23",Update
201182,"2021-08-03 13:39:03","2021-08-03 13:39:05",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:39:23",Update
201183,"2021-07-07 11:10:27","2021-07-07 11:10:30.501","Api null","Api null","Api null","CPU Reset"
201184,"2021-08-03 13:39:41","2021-08-03 13:39:44",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:39:57",Update
201185,"2021-08-03 13:39:27","2021-08-03 13:39:32",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:39:44",Update
201186,"2021-08-03 13:38:56","2021-08-03 13:38:59",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:39:12",Update
201188,"2021-08-03 13:38:57","2021-08-03 13:39:00",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:39:13",Update
201190,"2021-08-03 13:40:59","2021-08-03 13:41:02",null,null,null,"Temp Error (72,3000)"
201191,"2021-08-03 13:36:44","2021-08-03 13:37:12",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:37:48",Update
201192,"2021-08-03 13:40:20","2021-08-03 13:40:23",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:40:45",Update
201193,"2021-06-03 14:30:07","2021-06-03 14:30:09.59","Api null","Api null","Api null","Battery Power Low (66,4) (api null)"
201194,"2021-08-03 13:42:27","2021-08-03 13:42:30",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:42:46",Update
201195,"2021-08-03 13:42:19","2021-08-03 13:42:22",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:42:42",Update
201196,"2021-08-03 13:41:56","2021-08-03 13:41:58",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:42:10",Update
201197,"2021-08-03 13:41:53","2021-08-03 13:41:55",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:42:09",Update
201198,"2021-08-03 13:41:51","2021-08-03 13:41:55",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:42:02",Update
201199,"2021-08-03 13:39:00","2021-08-03 13:39:14",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:39:36",Update
201200,"2021-08-03 13:41:49","2021-08-03 13:41:52",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:41:59",Update
201201,"2021-08-03 13:42:22","2021-08-03 13:42:24",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:42:44",Update
201202,"2021-08-03 13:36:38","2021-08-03 13:37:14",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:37:34",Update
201204,"2021-08-03 13:41:43","2021-08-03 13:41:47",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:41:58",Update
201205,"2021-08-03 13:41:41","2021-08-03 13:41:43",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:41:49",Update
201206,"2021-08-03 13:41:49","2021-08-03 13:41:52",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:42:02",Update
201207,"2021-08-03 13:41:48","2021-08-03 13:41:52",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:42:00",Update
201208,"2021-07-09 09:54:57","2021-07-09 09:59:14.837","Api null","Api null","Api null","CPU Reset"
201209,"2021-08-03 13:42:02","2021-08-03 13:42:04",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:42:21",Update
201210,"2021-06-30 05:22:06","2021-06-30 05:22:09.724","Api null","Api null","Api null","CPU Reset"
201212,"2021-08-03 13:42:50","2021-08-03 13:42:53",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:43:07",Update
201214,"2021-08-03 13:42:38","2021-08-03 13:42:42",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:42:54",Update
201215,"2021-08-03 13:42:01","2021-08-03 13:42:06",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:42:21",Update
201216,"2021-07-19 08:34:24","2021-07-19 08:34:27.045","Api null","Api null","Api null","CPU Reset"
201218,"2021-08-03 13:42:42","2021-08-03 13:42:45",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:43:05",Update
201219,"2021-08-03 13:42:54","2021-08-03 13:42:56",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:43:18",Update
201220,"2021-08-03 13:42:47","2021-08-03 13:42:50",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:43:05",Update
201221,"2021-08-03 13:42:58","2021-08-03 13:43:02",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:43:18",Update
201222,"2021-08-03 13:39:40","2021-08-03 13:39:59",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:40:09",Update
201223,"2021-08-03 13:42:54","2021-08-03 13:42:57",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:43:17",Update
201224,"2021-08-03 13:42:41","2021-08-03 13:42:45",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:43:05",Update
201225,"2021-08-03 13:42:43","2021-08-03 13:42:46",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:43:05",Update
201226,"2021-08-03 13:42:49","2021-08-03 13:42:52",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:43:08",Update
201228,"2021-08-03 13:42:18","2021-08-03 13:42:39",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:42:53",Update
201229,"2021-08-03 13:42:12","2021-08-03 13:42:15",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:42:32",Update
201230,"2021-08-03 13:42:50","2021-08-03 13:42:53",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:43:08",Update
201231,"2021-08-03 13:42:16","2021-08-03 13:42:19",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:42:35",Update
201232,"2021-07-28 17:06:22","2021-07-28 17:06:24",200,"{""data_failed"":[],""message"":""Success""}","2021-07-28 17:06:34","Battery Power Low (66,0)"
201233,"2021-07-14 10:57:32","2021-07-14 10:57:36.793","Api null","Api null","Api null","Battery Power Low (66,6354) (api null)"
201234,"2021-08-03 13:43:36","2021-08-03 13:43:38",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:43:50",Update
201236,"2021-08-03 13:43:21","2021-08-03 13:43:24",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:43:40",Update
