"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
202213,B-9177-CXR,0,1355,0%
202214,B-9808-CXR,0,1530,0%
202215,B-9456-CXR,0,1349,0%
202217,B-9663-CXR,0,0,0%
202218,B-9664-CXR,0,1362,0%
202220,B-9803-CXR,0,0,0%
202221,B-9417-CXR,156,1362,11.45%
202222,B-9804-CXR,0,1346,0%
202223,B-9752-CXR,0,1338,0%
202224,B-9750-CXR,49,1340,3.66%
202225,B-9672-CXR,0,1348,0%
202226,B-9801-CXR,172,1346,12.78%
202227,B-9809-CXR,0,0,0%
202228,B-9350-CXR,3,1355,0.22%
202229,B-9806-CXR,16,1348,1.19%
202231,B-9873-CXR,2,1353,0.15%
202233,B-9741-CXR,0,1380,0%
202234,B-9722-CXR,0,1349,0%
202235,B-9729-CXR,103,1341,7.68%
202236,B-9747-CXR,0,1355,0%
202237,B-9372-CXR,0,1357,0%
202238,B-9884-CXR,1,1356,0.07%
202239,B-9767-CXR,0,1336,0%
202240,B-9877-CXR,0,1357,0%
202241,B-9843-CXR,0,1380,0%
202242,B-9628-CXR,77,1366,5.64%
202243,B-9879-CXR,62,1346,4.61%
202244,B-9742-CXR,0,1335,0%
202245,B-9886-CXR,64,1335,4.79%
202246,B-9846-CXR,107,1350,7.93%
202247,B-9869-CXR,0,1338,0%
202248,B-9850-CXR,0,1370,0%
202249,B-9871-CXR,99,1356,7.3%
202250,B-9874-CXR,0,1345,0%
202251,B-9745-CXR,0,1366,0%
202252,W-8191-UT,0,1367,0%
202253,W-8194-UT,0,1333,0%
202254,W-8193-UT,24,1345,1.78%
202255,W-8192-UT,0,1355,0%
202256,W-8195-UT,15,1356,1.11%
202257,B-9894-CXR,136,1352,10.06%
202258,B-9866-CXR,0,1338,0%
202260,B-9907-CXR,0,1398,0%
202262,B-9214-CXR,73,1371,5.32%
202264,B-9844-CXR,3,1354,0.22%
202265,B-9875-CXR,0,1341,0%
202266,B-9298-CXS,0,1343,0%
202267,B-9763-CXR,0,0,0%
202268,B-9725-CXR,0,1340,0%
202270,B-9845-CXR,0,1339,0%
202272,B-9575-CXR,0,1336,0%
202273,B-9601-CXR,55,1357,4.05%
202274,B-9862-CXR,6,727,0.83%
202275,B-9901-CXR,1,1350,0.07%
202276,B-9865-CXR,2,1364,0.15%
202277,B-9876-CXR,0,1342,0%
202278,B-9760-CXR,1,1360,0.07%
202279,B-9854-CXR,0,1343,0%
202280,B-9623-CXR,33,1364,2.42%
202281,B-9574-CXR,33,1359,2.43%
202282,B-9701-CXR,0,1417,0%
202283,B-9847-CXR,0,1362,0%
202285,B-9849-CXR,0,1359,0%
202286,B-9896-CXR,0,1363,0%
202287,B-9899-CXR,0,1336,0%
202289,B-9853-CXR,0,1352,0%
202290,W-8272-UT,2,1383,0.14%
202291,B-9429-CXR,0,1335,0%
202292,W-8273-UT,0,1353,0%
202293,W-8268-UT,0,0,0%
202294,W-8269-UT,1,1368,0.07%
202295,B-9863-CXR,3,1362,0.22%
202297,B-9936-CXR,0,1345,0%
202298,B-9861-CXR,0,1352,0%
202299,B-9933-CXR,32,1366,2.34%
202301,B-9872-CXR,21,1363,1.54%
202302,B-9937-CXR,0,1350,0%
202303,B-9407-CXR,0,1347,0%
202304,B-9941-CXR,0,1348,0%
202307,B-9878-CXR,0,1359,0%
202309,B-9413-CXR,122,1364,8.94%
202310,B-9883-CXR,40,1340,2.99%
202311,B-9665-CXR,1,1348,0.07%
202312,B-9583-CXR,0,1337,0%
202313,B-9880-CXR,0,1358,0%
202315,B-9881-CXR,0,1345,0%
202316,B-9932-CXR,0,1340,0%
202317,B-9885-CXR,0,1349,0%
202318,B-9410-CXR,1,1351,0.07%
202319,B-9906-CXR,0,0,0%
202320,B-9887-CXR,0,1337,0%
202321,B-9882-CXR,0,1338,0%
202322,B-9934-CXR,35,1355,2.58%
202323,B-9904-CXR,0,1337,0%
202324,B-9953-CXR,0,1342,0%
202325,B-9892-CXR,0,1353,0%
202326,B-9949-CXR,7,1364,0.51%
202327,B-9952-CXR,0,796,0%
202328,B-9913-CXR,0,1338,0%
202329,B-9889-CXR,0,1366,0%
202330,W-8270-UT,0,1365,0%
202331,B-9910-CXR,0,1365,0%
202332,B-9406-CXR,0,1342,0%
202333,B-9903-CXR,0,1345,0%
202334,B-9897-CXR,0,1342,0%
202335,B-9900-CXR,35,1347,2.6%
202336,B-9870-CXR,0,1338,0%
202337,B-9950-CXR,0,1335,0%
202338,B-9959-CXR,0,1351,0%
202339,B-9951-CXR,2,1377,0.15%
202340,B-9905-CXR,0,1342,0%
202341,B-9914-CXR,0,1350,0%
202342,B-9748-CXR,0,1360,0%
202343,B-9893-CXR,0,286,0%
202345,B-9895-CXR,0,1354,0%
202346,B-9212-CXR,1,1363,0.07%
202347,B-9349-CXR,0,1316,0%
202348,B-9662-CXR,0,0,0%
202349,B-9958-CXR,1,1355,0.07%
202350,B-9593-CXR,0,1364,0%
202351,B-9058-CXS,24,1362,1.76%
202352,B-9049-CXS,4,1357,0.29%
202353,B-9047-CXS,0,1357,0%
202354,B-9057-CXS,0,1369,0%
202355,B-9024-CXS,1,1349,0.07%
202356,B-9059-CXS,0,1349,0%
202357,B-9056-CXS,10,1406,0.71%
202358,B-9048-CXS,0,1355,0%
202359,B-9060-CXS,1,1372,0.07%
202360,B-9022-CXS,3,1349,0.22%
202361,B-9055-CXS,0,1403,0%
202362,B-9051-CXS,0,293,0%
202363,B-9050-CXS,0,1367,0%
202364,B-9028-CXS,0,1331,0%
202365,B-9032-CXS,0,1344,0%
202366,B-9033-CXS,31,1350,2.3%
202367,B-9029-CXS,0,1351,0%
202368,B-9031-CXS,0,1336,0%
202369,B-9451-CXR,0,1341,0%
202370,B-9188-CXS,61,1365,4.47%
202371,B-9014-CXS,1,1367,0.07%
202372,B-9023-CXS,27,1377,1.96%
202373,B-9040-CXS,1,1341,0.07%
202374,B-9036-CXS,0,1335,0%
202375,B-9018-CXS,0,1352,0%
202376,B-9015-CXS,0,1357,0%
202377,B-9011-CXS,10,1384,0.72%
202378,B-9020-CXS,50,1374,3.64%
202379,B-9063-CXS,0,1334,0%
202380,B-9062-CXS,0,1332,0%
202381,B-9064-CXS,0,1362,0%
202382,B-9025-CXS,0,1358,0%
202383,B-9052-CXS,0,1337,0%
202384,B-9054-CXS,0,292,0%
202385,B-9035-CXS,0,1338,0%
202386,B-9066-CXS,0,1338,0%
202387,B-9086-CXS,1,1360,0.07%
202388,B-9046-CXS,0,1363,0%
202389,B-9030-CXS,20,1370,1.46%
202390,B-9614-CXR,0,1342,0%
202391,B-9026-CXS,0,1370,0%
202392,B-9027-CXS,0,1338,0%
202393,B-9045-CXS,2,1360,0.15%
202394,B-9013-CXS,10,1402,0.71%
202395,B-9034-CXS,10,1361,0.73%
202397,B-9010-CXS,2,1356,0.15%
202398,B-9017-CXS,0,1342,0%
202399,B-9053-CXS,0,1350,0%
202400,B-9043-CXS,0,1340,0%
202401,B-9041-CXS,9,1318,0.68%
202402,B-9008-CXS,0,1307,0%
202403,B-9042-CXS,2,1374,0.15%
202404,B-9019-CXS,1,1357,0.07%
202406,B-9016-CXS,0,1341,0%
202407,B-9202-CXR,2,1353,0.15%
202408,B-9187-CXS,0,1339,0%
202409,B-9203-CXS,0,1338,0%
202410,B-9239-CXR,0,1363,0%
202411,B-9205-CXS,1,1349,0.07%
202412,B-9204-CXS,1,1356,0.07%
202413,B-9421-CXR,0,1345,0%
202414,B-9206-CXS,0,1347,0%
202415,B-9212-CXS,0,1386,0%
202416,B-9230-CXS,1,1351,0.07%
202417,B-9227-CXS,0,1362,0%
202418,B-9765-CXR,0,1359,0%
202419,B-9192-CXS,0,1379,0%
202420,B-9256-CXS,0,1351,0%
202421,B-9261-CXS,0,1349,0%
202422,B-9259-CXS,23,1360,1.69%
202423,B-9258-CXS,1,1345,0.07%
202424,B-9274-CXS,1,1343,0.07%
202426,B-9310-CXS,130,1365,9.52%
202427,B-9337-CXS,0,1337,0%
202429,B-9340-CXS,0,1365,0%
202430,B-9296-CXS,3,1359,0.22%
202431,B-9285-CXS,0,1341,0%
202432,B-9283-CXS,229,1343,17.05%
202433,B-9277-CXS,12,1293,0.93%
202434,B-9275-CXS,1,1347,0.07%
202435,B-9281-CXS,0,1355,0%
202436,B-9342-CXS,0,1329,0%
202437,B-9272-CXS,38,1346,2.82%
202438,B-9300-CXS,245,1343,18.24%
202439,B-9279-CXS,95,1357,7%
202440,B-9255-CXS,1,1355,0.07%
202441,B-9306-CXS,2,1357,0.15%
202442,B-9829-CXR,1099,1351,81.35%
202443,B-9297-CXS,0,1345,0%
202444,B-9406-CXS,78,1373,5.68%
202445,B-9556-CXR,0,1357,0%
202446,B-9304-CXS,0,1378,0%
202447,B-9294-CXS,42,1356,3.1%
202448,B-9361-CXS,30,1364,2.2%
202449,B-9404-CXS,31,1355,2.29%
202450,B-9401-CXS,95,1354,7.02%
202451,B-9403-CXS,589,1357,43.4%
202452,B-9399-CXS,27,1353,2%
202453,B-9364-CXS,2,1342,0.15%
202454,B-9360-CXS,4,1357,0.29%
202455,B-9338-CXS,16,1396,1.15%
202456,B-9271-CXS,2,1370,0.15%
202457,B-9273-CXS,0,1361,0%
202458,B-9336-CXS,70,1365,5.13%
202459,B-9371-CXS,56,1343,4.17%
202460,B-9270-CXS,0,1335,0%
202461,B-9372-CXS,5,1358,0.37%
202462,B-9373-CXS,0,1352,0%
202463,B-9368-CXS,0,1338,0%
202464,B-9370-CXS,9,1350,0.67%
